experiment simulation item wn word attachtime
GG-EXP1 19 OBJECT-REL 3 "WHO" 10 
GG-EXP1 19 OBJECT-REL 4 "THE" 148 
GG-EXP1 19 OBJECT-REL 5 "PHOTOGRAPHER" 70 
GG-EXP1 19 OBJECT-REL 6 "SENT" 151 
GG-EXP1 19 OBJECT-REL 7 "TO" 70 
GG-EXP1 19 OBJECT-REL 8 "THE" 41 
GG-EXP1 19 OBJECT-REL 9 "EDITOR" 45 
GG-EXP1 19 OBJECT-REL 10 "HOPED" 93 
GG-EXP1 19 OBJECT-REL 11 "FOR" 70 
GG-EXP1 19 OBJECT-REL 12 "THE" 52 
GG-EXP1 19 OBJECT-REL 13 "STORY" 41 
GG-EXP1 20 SUBJECT-REL 1 "THE" 70 
GG-EXP1 20 SUBJECT-REL 2 "REPORTER" 41 
GG-EXP1 20 SUBJECT-REL 3 "WHO" 10 
GG-EXP1 20 SUBJECT-REL 4 "SENT" 42 
GG-EXP1 20 SUBJECT-REL 5 "THE" 70 
GG-EXP1 20 SUBJECT-REL 6 "PHOTOGRAPHER" 52 
GG-EXP1 20 SUBJECT-REL 7 "TO" 70 
GG-EXP1 20 SUBJECT-REL 8 "THE" 41 
GG-EXP1 20 SUBJECT-REL 9 "EDITOR" 43 
GG-EXP1 20 SUBJECT-REL 10 "HOPED" 69 
GG-EXP1 20 SUBJECT-REL 11 "FOR" 70 
GG-EXP1 20 SUBJECT-REL 12 "THE" 70 
GG-EXP1 20 SUBJECT-REL 13 "STORY" 31 
GG-EXP1 20 OBJECT-REL 1 "THE" 38 
GG-EXP1 20 OBJECT-REL 2 "REPORTER" 42 
GG-EXP1 20 OBJECT-REL 3 "WHO" 10 
GG-EXP1 20 OBJECT-REL 4 "THE" 139 
GG-EXP1 20 OBJECT-REL 5 "PHOTOGRAPHER" 43 
GG-EXP1 20 OBJECT-REL 6 "SENT" 133 
GG-EXP1 20 OBJECT-REL 7 "TO" 70 
GG-EXP1 20 OBJECT-REL 8 "THE" 70 
GG-EXP1 20 OBJECT-REL 9 "EDITOR" 31 
GG-EXP1 20 OBJECT-REL 10 "HOPED" 88 
GG-EXP1 20 OBJECT-REL 11 "FOR" 55 
GG-EXP1 20 OBJECT-REL 12 "THE" 70 
GG-EXP1 20 OBJECT-REL 13 "STORY" 70 
GG-EXP1 21 SUBJECT-REL 1 "THE" 39 
GG-EXP1 21 SUBJECT-REL 2 "REPORTER" 51 
GG-EXP1 21 SUBJECT-REL 3 "WHO" 10 
GG-EXP1 21 SUBJECT-REL 4 "SENT" 39 
GG-EXP1 21 SUBJECT-REL 5 "THE" 70 
GG-EXP1 21 SUBJECT-REL 6 "PHOTOGRAPHER" 70 
GG-EXP1 21 SUBJECT-REL 7 "TO" 70 
GG-EXP1 21 SUBJECT-REL 8 "THE" 70 
GG-EXP1 21 SUBJECT-REL 9 "EDITOR" 70 
GG-EXP1 21 SUBJECT-REL 10 "HOPED" 125 
GG-EXP1 21 SUBJECT-REL 11 "FOR" 70 
GG-EXP1 21 SUBJECT-REL 12 "THE" 70 
GG-EXP1 21 SUBJECT-REL 13 "STORY" 70 
GG-EXP1 21 OBJECT-REL 1 "THE" 70 
GG-EXP1 21 OBJECT-REL 2 "REPORTER" 70 
GG-EXP1 21 OBJECT-REL 3 "WHO" 10 
GG-EXP1 21 OBJECT-REL 4 "THE" 154 
GG-EXP1 21 OBJECT-REL 5 "PHOTOGRAPHER" 70 
GG-EXP1 21 OBJECT-REL 6 "SENT" 102 
GG-EXP1 21 OBJECT-REL 7 "TO" 70 
GG-EXP1 21 OBJECT-REL 8 "THE" 39 
GG-EXP1 21 OBJECT-REL 9 "EDITOR" 70 
GG-EXP1 21 OBJECT-REL 10 "HOPED" 92 
GG-EXP1 21 OBJECT-REL 11 "FOR" 47 
GG-EXP1 21 OBJECT-REL 12 "THE" 70 
GG-EXP1 21 OBJECT-REL 13 "STORY" 39 
GG-EXP1 22 SUBJECT-REL 1 "THE" 41 
GG-EXP1 22 SUBJECT-REL 2 "REPORTER" 70 
GG-EXP1 22 SUBJECT-REL 3 "WHO" 10 
GG-EXP1 22 SUBJECT-REL 4 "SENT" 70 
GG-EXP1 22 SUBJECT-REL 5 "THE" 38 
GG-EXP1 22 SUBJECT-REL 6 "PHOTOGRAPHER" 44 
GG-EXP1 22 SUBJECT-REL 7 "TO" 70 
GG-EXP1 22 SUBJECT-REL 8 "THE" 37 
GG-EXP1 22 SUBJECT-REL 9 "EDITOR" 70 
GG-EXP1 22 SUBJECT-REL 10 "HOPED" 80 
GG-EXP1 22 SUBJECT-REL 11 "FOR" 50 
GG-EXP1 22 SUBJECT-REL 12 "THE" 42 
GG-EXP1 22 SUBJECT-REL 13 "STORY" 70 
GG-EXP1 22 OBJECT-REL 1 "THE" 38 
GG-EXP1 22 OBJECT-REL 2 "REPORTER" 36 
GG-EXP1 22 OBJECT-REL 3 "WHO" 10 
GG-EXP1 22 OBJECT-REL 4 "THE" 125 
GG-EXP1 22 OBJECT-REL 5 "PHOTOGRAPHER" 41 
GG-EXP1 22 OBJECT-REL 6 "SENT" 127 
GG-EXP1 22 OBJECT-REL 7 "TO" 70 
GG-EXP1 22 OBJECT-REL 8 "THE" 70 
GG-EXP1 22 OBJECT-REL 9 "EDITOR" 52 
GG-EXP1 22 OBJECT-REL 10 "HOPED" 86 
GG-EXP1 22 OBJECT-REL 11 "FOR" 44 
GG-EXP1 22 OBJECT-REL 12 "THE" 70 
GG-EXP1 22 OBJECT-REL 13 "STORY" 70 
GG-EXP1 23 SUBJECT-REL 1 "THE" 30 
GG-EXP1 23 SUBJECT-REL 2 "REPORTER" 40 
GG-EXP1 23 SUBJECT-REL 3 "WHO" 10 
GG-EXP1 23 SUBJECT-REL 4 "SENT" 70 
GG-EXP1 23 SUBJECT-REL 5 "THE" 35 
GG-EXP1 23 SUBJECT-REL 6 "PHOTOGRAPHER" 34 
GG-EXP1 23 SUBJECT-REL 7 "TO" 39 
GG-EXP1 23 SUBJECT-REL 8 "THE" 70 
GG-EXP1 23 SUBJECT-REL 9 "EDITOR" 46 
GG-EXP1 23 SUBJECT-REL 10 "HOPED" 70 
GG-EXP1 23 SUBJECT-REL 11 "FOR" 43 
GG-EXP1 23 SUBJECT-REL 12 "THE" 70 
GG-EXP1 23 SUBJECT-REL 13 "STORY" 70 
GG-EXP1 23 OBJECT-REL 1 "THE" 70 
GG-EXP1 23 OBJECT-REL 2 "REPORTER" 37 
GG-EXP1 23 OBJECT-REL 3 "WHO" 10 
GG-EXP1 23 OBJECT-REL 4 "THE" 123 
GG-EXP1 23 OBJECT-REL 5 "PHOTOGRAPHER" 43 
GG-EXP1 23 OBJECT-REL 6 "SENT" 115 
GG-EXP1 23 OBJECT-REL 7 "TO" 70 
GG-EXP1 23 OBJECT-REL 8 "THE" 70 
GG-EXP1 23 OBJECT-REL 9 "EDITOR" 51 
GG-EXP1 23 OBJECT-REL 10 "HOPED" 99 
GG-EXP1 23 OBJECT-REL 11 "FOR" 48 
GG-EXP1 23 OBJECT-REL 12 "THE" 36 
GG-EXP1 23 OBJECT-REL 13 "STORY" 50 
GG-EXP1 24 SUBJECT-REL 1 "THE" 33 
GG-EXP1 24 SUBJECT-REL 2 "REPORTER" 70 
GG-EXP1 24 SUBJECT-REL 3 "WHO" 10 
GG-EXP1 24 SUBJECT-REL 4 "SENT" 34 
GG-EXP1 24 SUBJECT-REL 5 "THE" 70 
GG-EXP1 24 SUBJECT-REL 6 "PHOTOGRAPHER" 43 
GG-EXP1 24 SUBJECT-REL 7 "TO" 70 
GG-EXP1 24 SUBJECT-REL 8 "THE" 70 
GG-EXP1 24 SUBJECT-REL 9 "EDITOR" 45 
GG-EXP1 24 SUBJECT-REL 10 "HOPED" 70 
GG-EXP1 24 SUBJECT-REL 11 "FOR" 70 
GG-EXP1 24 SUBJECT-REL 12 "THE" 37 
GG-EXP1 24 SUBJECT-REL 13 "STORY" 70 
GG-EXP1 24 OBJECT-REL 1 "THE" 70 
GG-EXP1 24 OBJECT-REL 2 "REPORTER" 39 
GG-EXP1 24 OBJECT-REL 3 "WHO" 10 
GG-EXP1 24 OBJECT-REL 4 "THE" 139 
GG-EXP1 24 OBJECT-REL 5 "PHOTOGRAPHER" 70 
GG-EXP1 24 OBJECT-REL 6 "SENT" 126 
GG-EXP1 24 OBJECT-REL 7 "TO" 41 
GG-EXP1 24 OBJECT-REL 8 "THE" 70 
GG-EXP1 24 OBJECT-REL 9 "EDITOR" 70 
GG-EXP1 24 OBJECT-REL 10 "HOPED" 97 
GG-EXP1 24 OBJECT-REL 11 "FOR" 37 
GG-EXP1 24 OBJECT-REL 12 "THE" 43 
GG-EXP1 24 OBJECT-REL 13 "STORY" 70 
GG-EXP1 25 SUBJECT-REL 1 "THE" 38 
GG-EXP1 25 SUBJECT-REL 2 "REPORTER" 44 
GG-EXP1 25 SUBJECT-REL 3 "WHO" 10 
GG-EXP1 25 SUBJECT-REL 4 "SENT" 70 
GG-EXP1 25 SUBJECT-REL 5 "THE" 35 
GG-EXP1 25 SUBJECT-REL 6 "PHOTOGRAPHER" 48 
GG-EXP1 25 SUBJECT-REL 7 "TO" 70 
GG-EXP1 25 SUBJECT-REL 8 "THE" 43 
GG-EXP1 25 SUBJECT-REL 9 "EDITOR" 49 
GG-EXP1 25 SUBJECT-REL 10 "HOPED" 78 
GG-EXP1 25 SUBJECT-REL 11 "FOR" 70 
GG-EXP1 25 SUBJECT-REL 12 "THE" 70 
GG-EXP1 25 SUBJECT-REL 13 "STORY" 70 
GG-EXP1 25 OBJECT-REL 1 "THE" 27 
GG-EXP1 25 OBJECT-REL 2 "REPORTER" 70 
GG-EXP1 25 OBJECT-REL 3 "WHO" 10 
GG-EXP1 25 OBJECT-REL 4 "THE" 104 
GG-EXP1 25 OBJECT-REL 5 "PHOTOGRAPHER" 42 
GG-EXP1 25 OBJECT-REL 6 "SENT" 124 
GG-EXP1 25 OBJECT-REL 7 "TO" 45 
GG-EXP1 25 OBJECT-REL 8 "THE" 70 
GG-EXP1 25 OBJECT-REL 9 "EDITOR" 43 
GG-EXP1 25 OBJECT-REL 10 "HOPED" 88 
GG-EXP1 25 OBJECT-REL 11 "FOR" 70 
GG-EXP1 25 OBJECT-REL 12 "THE" 41 
GG-EXP1 25 OBJECT-REL 13 "STORY" 43 
GG-EXP1 26 SUBJECT-REL 1 "THE" 39 
GG-EXP1 26 SUBJECT-REL 2 "REPORTER" 39 
GG-EXP1 26 SUBJECT-REL 3 "WHO" 10 
GG-EXP1 26 SUBJECT-REL 4 "SENT" 40 
GG-EXP1 26 SUBJECT-REL 5 "THE" 70 
GG-EXP1 26 SUBJECT-REL 6 "PHOTOGRAPHER" 70 
GG-EXP1 26 SUBJECT-REL 7 "TO" 70 
GG-EXP1 26 SUBJECT-REL 8 "THE" 40 
GG-EXP1 26 SUBJECT-REL 9 "EDITOR" 43 
GG-EXP1 26 SUBJECT-REL 10 "HOPED" 78 
GG-EXP1 26 SUBJECT-REL 11 "FOR" 33 
GG-EXP1 26 SUBJECT-REL 12 "THE" 35 
GG-EXP1 26 SUBJECT-REL 13 "STORY" 43 
GG-EXP1 26 OBJECT-REL 1 "THE" 29 
GG-EXP1 26 OBJECT-REL 2 "REPORTER" 70 
GG-EXP1 26 OBJECT-REL 3 "WHO" 10 
GG-EXP1 26 OBJECT-REL 4 "THE" 105 
GG-EXP1 26 OBJECT-REL 5 "PHOTOGRAPHER" 36 
GG-EXP1 26 OBJECT-REL 6 "SENT" 111 
GG-EXP1 26 OBJECT-REL 7 "TO" 30 
GG-EXP1 26 OBJECT-REL 8 "THE" 38 
GG-EXP1 26 OBJECT-REL 9 "EDITOR" 70 
GG-EXP1 26 OBJECT-REL 10 "HOPED" 78 
GG-EXP1 26 OBJECT-REL 11 "FOR" 70 
GG-EXP1 26 OBJECT-REL 12 "THE" 48 
GG-EXP1 26 OBJECT-REL 13 "STORY" 70 
GG-EXP1 27 SUBJECT-REL 1 "THE" 34 
GG-EXP1 27 SUBJECT-REL 2 "REPORTER" 38 
GG-EXP1 27 SUBJECT-REL 3 "WHO" 10 
GG-EXP1 27 SUBJECT-REL 4 "SENT" 70 
GG-EXP1 27 SUBJECT-REL 5 "THE" 45 
GG-EXP1 27 SUBJECT-REL 6 "PHOTOGRAPHER" 70 
GG-EXP1 27 SUBJECT-REL 7 "TO" 70 
GG-EXP1 27 SUBJECT-REL 8 "THE" 45 
GG-EXP1 27 SUBJECT-REL 9 "EDITOR" 42 
GG-EXP1 27 SUBJECT-REL 10 "HOPED" 66 
GG-EXP1 27 SUBJECT-REL 11 "FOR" 75 
GG-EXP1 27 SUBJECT-REL 12 "THE" 70 
GG-EXP1 27 SUBJECT-REL 13 "STORY" 70 
GG-EXP1 27 OBJECT-REL 1 "THE" 70 
GG-EXP1 27 OBJECT-REL 2 "REPORTER" 38 
GG-EXP1 27 OBJECT-REL 3 "WHO" 10 
GG-EXP1 27 OBJECT-REL 4 "THE" 152 
GG-EXP1 27 OBJECT-REL 5 "PHOTOGRAPHER" 44 
GG-EXP1 27 OBJECT-REL 6 "SENT" 125 
GG-EXP1 27 OBJECT-REL 7 "TO" 40 
GG-EXP1 27 OBJECT-REL 8 "THE" 70 
GG-EXP1 27 OBJECT-REL 9 "EDITOR" 37 
GG-EXP1 27 OBJECT-REL 10 "HOPED" 79 
GG-EXP1 27 OBJECT-REL 11 "FOR" 70 
GG-EXP1 27 OBJECT-REL 12 "THE" 70 
GG-EXP1 27 OBJECT-REL 13 "STORY" 52 
GG-EXP1 28 SUBJECT-REL 1 "THE" 70 
GG-EXP1 28 SUBJECT-REL 2 "REPORTER" 41 
GG-EXP1 28 SUBJECT-REL 3 "WHO" 10 
GG-EXP1 28 SUBJECT-REL 4 "SENT" 35 
GG-EXP1 28 SUBJECT-REL 5 "THE" 70 
GG-EXP1 28 SUBJECT-REL 6 "PHOTOGRAPHER" 88 
GG-EXP1 28 SUBJECT-REL 7 "TO" 37 
GG-EXP1 28 SUBJECT-REL 8 "THE" 44 
GG-EXP1 28 SUBJECT-REL 9 "EDITOR" 45 
GG-EXP1 28 SUBJECT-REL 10 "HOPED" 58 
GG-EXP1 28 SUBJECT-REL 11 "FOR" 47 
GG-EXP1 28 SUBJECT-REL 12 "THE" 48 
GG-EXP1 28 SUBJECT-REL 13 "STORY" 70 
GG-EXP1 28 OBJECT-REL 1 "THE" 70 
GG-EXP1 28 OBJECT-REL 2 "REPORTER" 70 
GG-EXP1 28 OBJECT-REL 3 "WHO" 10 
GG-EXP1 28 OBJECT-REL 4 "THE" 142 
GG-EXP1 28 OBJECT-REL 5 "PHOTOGRAPHER" 70 
GG-EXP1 28 OBJECT-REL 6 "SENT" 123 
GG-EXP1 28 OBJECT-REL 7 "TO" 36 
GG-EXP1 28 OBJECT-REL 8 "THE" 70 
GG-EXP1 28 OBJECT-REL 9 "EDITOR" 40 
GG-EXP1 28 OBJECT-REL 10 "HOPED" 91 
GG-EXP1 28 OBJECT-REL 11 "FOR" 45 
GG-EXP1 28 OBJECT-REL 12 "THE" 70 
GG-EXP1 28 OBJECT-REL 13 "STORY" 70 
GG-EXP1 29 SUBJECT-REL 1 "THE" 42 
GG-EXP1 29 SUBJECT-REL 2 "REPORTER" 70 
GG-EXP1 29 SUBJECT-REL 3 "WHO" 10 
GG-EXP1 29 SUBJECT-REL 4 "SENT" 38 
GG-EXP1 29 SUBJECT-REL 5 "THE" 70 
GG-EXP1 29 SUBJECT-REL 6 "PHOTOGRAPHER" 70 
GG-EXP1 29 SUBJECT-REL 7 "TO" 38 
GG-EXP1 29 SUBJECT-REL 8 "THE" 35 
GG-EXP1 29 SUBJECT-REL 9 "EDITOR" 93 
GG-EXP1 29 SUBJECT-REL 10 "HOPED" 70 
GG-EXP1 29 SUBJECT-REL 11 "FOR" 70 
GG-EXP1 29 SUBJECT-REL 12 "THE" 36 
GG-EXP1 29 SUBJECT-REL 13 "STORY" 70 
GG-EXP1 29 OBJECT-REL 1 "THE" 70 
GG-EXP1 29 OBJECT-REL 2 "REPORTER" 43 
GG-EXP1 29 OBJECT-REL 3 "WHO" 10 
GG-EXP1 29 OBJECT-REL 4 "THE" 131 
GG-EXP1 29 OBJECT-REL 5 "PHOTOGRAPHER" 70 
GG-EXP1 29 OBJECT-REL 6 "SENT" 115 
GG-EXP1 29 OBJECT-REL 7 "TO" 44 
GG-EXP1 29 OBJECT-REL 8 "THE" 70 
GG-EXP1 29 OBJECT-REL 9 "EDITOR" 42 
GG-EXP1 29 OBJECT-REL 10 "HOPED" 71 
GG-EXP1 29 OBJECT-REL 11 "FOR" 70 
GG-EXP1 29 OBJECT-REL 12 "THE" 70 
GG-EXP1 29 OBJECT-REL 13 "STORY" 42 
GG-EXP1 30 SUBJECT-REL 1 "THE" 47 
GG-EXP1 30 SUBJECT-REL 2 "REPORTER" 58 
GG-EXP1 30 SUBJECT-REL 3 "WHO" 10 
GG-EXP1 30 SUBJECT-REL 4 "SENT" 70 
GG-EXP1 30 SUBJECT-REL 5 "THE" 46 
GG-EXP1 30 SUBJECT-REL 6 "PHOTOGRAPHER" 37 
GG-EXP1 30 SUBJECT-REL 7 "TO" 44 
GG-EXP1 30 SUBJECT-REL 8 "THE" 70 
GG-EXP1 30 SUBJECT-REL 9 "EDITOR" 53 
GG-EXP1 30 SUBJECT-REL 10 "HOPED" 70 
GG-EXP1 30 SUBJECT-REL 11 "FOR" 87 
GG-EXP1 30 SUBJECT-REL 12 "THE" 70 
GG-EXP1 30 SUBJECT-REL 13 "STORY" 54 
GG-EXP1 30 OBJECT-REL 1 "THE" 70 
GG-EXP1 30 OBJECT-REL 2 "REPORTER" 70 
GG-EXP1 30 OBJECT-REL 3 "WHO" 10 
GG-EXP1 30 OBJECT-REL 4 "THE" 82 
GG-EXP1 30 OBJECT-REL 5 "PHOTOGRAPHER" 38 
GG-EXP1 30 OBJECT-REL 6 "SENT" 130 
GG-EXP1 30 OBJECT-REL 7 "TO" 70 
GG-EXP1 30 OBJECT-REL 8 "THE" 39 
GG-EXP1 30 OBJECT-REL 9 "EDITOR" 54 
GG-EXP1 30 OBJECT-REL 10 "HOPED" 113 
GG-EXP1 30 OBJECT-REL 11 "FOR" 70 
GG-EXP1 30 OBJECT-REL 12 "THE" 50 
GG-EXP1 30 OBJECT-REL 13 "STORY" 38 
GG-EXP1 31 SUBJECT-REL 1 "THE" 70 
GG-EXP1 31 SUBJECT-REL 2 "REPORTER" 45 
GG-EXP1 31 SUBJECT-REL 3 "WHO" 10 
GG-EXP1 31 SUBJECT-REL 4 "SENT" 70 
GG-EXP1 31 SUBJECT-REL 5 "THE" 42 
GG-EXP1 31 SUBJECT-REL 6 "PHOTOGRAPHER" 42 
GG-EXP1 31 SUBJECT-REL 7 "TO" 32 
GG-EXP1 31 SUBJECT-REL 8 "THE" 70 
GG-EXP1 31 SUBJECT-REL 9 "EDITOR" 70 
GG-EXP1 31 SUBJECT-REL 10 "HOPED" 82 
GG-EXP1 31 SUBJECT-REL 11 "FOR" 40 
GG-EXP1 31 SUBJECT-REL 12 "THE" 52 
GG-EXP1 31 SUBJECT-REL 13 "STORY" 39 
GG-EXP1 31 OBJECT-REL 1 "THE" 37 
GG-EXP1 31 OBJECT-REL 2 "REPORTER" 70 
GG-EXP1 31 OBJECT-REL 3 "WHO" 10 
GG-EXP1 31 OBJECT-REL 4 "THE" 139 
GG-EXP1 31 OBJECT-REL 5 "PHOTOGRAPHER" 70 
GG-EXP1 31 OBJECT-REL 6 "SENT" 89 
GG-EXP1 31 OBJECT-REL 7 "TO" 70 
GG-EXP1 31 OBJECT-REL 8 "THE" 46 
GG-EXP1 31 OBJECT-REL 9 "EDITOR" 40 
GG-EXP1 31 OBJECT-REL 10 "HOPED" 74 
GG-EXP1 31 OBJECT-REL 11 "FOR" 70 
GG-EXP1 32 SUBJECT-REL 1 "THE" 70 
GG-EXP1 32 SUBJECT-REL 2 "REPORTER" 41 
GG-EXP1 32 SUBJECT-REL 3 "WHO" 10 
GG-EXP1 32 SUBJECT-REL 4 "SENT" 38 
GG-EXP1 32 SUBJECT-REL 5 "THE" 70 
GG-EXP1 32 SUBJECT-REL 6 "PHOTOGRAPHER" 70 
GG-EXP1 32 SUBJECT-REL 7 "TO" 41 
GG-EXP1 32 SUBJECT-REL 8 "THE" 35 
GG-EXP1 32 SUBJECT-REL 9 "EDITOR" 39 
GG-EXP1 32 SUBJECT-REL 10 "HOPED" 107 
GG-EXP1 32 SUBJECT-REL 11 "FOR" 60 
GG-EXP1 32 SUBJECT-REL 12 "THE" 37 
GG-EXP1 32 SUBJECT-REL 13 "STORY" 43 
GG-EXP1 32 OBJECT-REL 1 "THE" 70 
GG-EXP1 32 OBJECT-REL 2 "REPORTER" 38 
GG-EXP1 32 OBJECT-REL 3 "WHO" 10 
GG-EXP1 32 OBJECT-REL 4 "THE" 120 
GG-EXP1 32 OBJECT-REL 5 "PHOTOGRAPHER" 43 
GG-EXP1 32 OBJECT-REL 6 "SENT" 160 
GG-EXP1 32 OBJECT-REL 7 "TO" 70 
GG-EXP1 32 OBJECT-REL 8 "THE" 70 
GG-EXP1 32 OBJECT-REL 9 "EDITOR" 40 
GG-EXP1 32 OBJECT-REL 10 "HOPED" 114 
GG-EXP1 32 OBJECT-REL 11 "FOR" 34 
GG-EXP1 32 OBJECT-REL 12 "THE" 42 
GG-EXP1 32 OBJECT-REL 13 "STORY" 70 
GG-EXP1 33 SUBJECT-REL 1 "THE" 37 
GG-EXP1 33 SUBJECT-REL 2 "REPORTER" 38 
GG-EXP1 33 SUBJECT-REL 3 "WHO" 10 
GG-EXP1 33 SUBJECT-REL 4 "SENT" 70 
GG-EXP1 33 SUBJECT-REL 5 "THE" 70 
GG-EXP1 33 SUBJECT-REL 6 "PHOTOGRAPHER" 70 
GG-EXP1 33 SUBJECT-REL 7 "TO" 70 
GG-EXP1 33 SUBJECT-REL 8 "THE" 55 
GG-EXP1 33 SUBJECT-REL 9 "EDITOR" 42 
GG-EXP1 33 SUBJECT-REL 10 "HOPED" 72 
GG-EXP1 33 SUBJECT-REL 11 "FOR" 42 
GG-EXP1 33 SUBJECT-REL 12 "THE" 45 
GG-EXP1 33 SUBJECT-REL 13 "STORY" 70 
GG-EXP1 33 OBJECT-REL 1 "THE" 42 
GG-EXP1 33 OBJECT-REL 2 "REPORTER" 43 
GG-EXP1 33 OBJECT-REL 3 "WHO" 10 
GG-EXP1 33 OBJECT-REL 4 "THE" 147 
GG-EXP1 33 OBJECT-REL 5 "PHOTOGRAPHER" 70 
GG-EXP1 33 OBJECT-REL 6 "SENT" 132 
GG-EXP1 33 OBJECT-REL 7 "TO" 45 
GG-EXP1 33 OBJECT-REL 8 "THE" 70 
GG-EXP1 33 OBJECT-REL 9 "EDITOR" 45 
GG-EXP1 33 OBJECT-REL 10 "HOPED" 107 
GG-EXP1 33 OBJECT-REL 11 "FOR" 45 
GG-EXP1 33 OBJECT-REL 12 "THE" 70 
GG-EXP1 33 OBJECT-REL 13 "STORY" 62 
GG-EXP1 34 SUBJECT-REL 1 "THE" 70 
GG-EXP1 34 SUBJECT-REL 2 "REPORTER" 70 
GG-EXP1 34 SUBJECT-REL 3 "WHO" 10 
GG-EXP1 34 SUBJECT-REL 4 "SENT" 44 
GG-EXP1 34 SUBJECT-REL 5 "THE" 70 
GG-EXP1 34 SUBJECT-REL 6 "PHOTOGRAPHER" 70 
GG-EXP1 34 SUBJECT-REL 7 "TO" 54 
GG-EXP1 34 SUBJECT-REL 8 "THE" 70 
GG-EXP1 34 SUBJECT-REL 9 "EDITOR" 59 
GG-EXP1 34 SUBJECT-REL 10 "HOPED" 71 
GG-EXP1 34 SUBJECT-REL 11 "FOR" 40 
GG-EXP1 34 SUBJECT-REL 12 "THE" 52 
GG-EXP1 34 SUBJECT-REL 13 "STORY" 70 
GG-EXP1 34 OBJECT-REL 1 "THE" 37 
GG-EXP1 34 OBJECT-REL 2 "REPORTER" 70 
GG-EXP1 34 OBJECT-REL 3 "WHO" 10 
GG-EXP1 34 OBJECT-REL 4 "THE" 112 
GG-EXP1 34 OBJECT-REL 5 "PHOTOGRAPHER" 70 
GG-EXP1 34 OBJECT-REL 6 "SENT" 111 
GG-EXP1 34 OBJECT-REL 7 "TO" 46 
GG-EXP1 34 OBJECT-REL 8 "THE" 43 
GG-EXP1 34 OBJECT-REL 9 "EDITOR" 70 
GG-EXP1 34 OBJECT-REL 10 "HOPED" 73 
GG-EXP1 34 OBJECT-REL 11 "FOR" 70 
GG-EXP1 35 SUBJECT-REL 1 "THE" 43 
GG-EXP1 35 SUBJECT-REL 2 "REPORTER" 70 
GG-EXP1 35 SUBJECT-REL 3 "WHO" 10 
GG-EXP1 35 SUBJECT-REL 4 "SENT" 70 
GG-EXP1 35 SUBJECT-REL 5 "THE" 41 
GG-EXP1 35 SUBJECT-REL 6 "PHOTOGRAPHER" 46 
GG-EXP1 35 SUBJECT-REL 7 "TO" 42 
GG-EXP1 35 SUBJECT-REL 8 "THE" 70 
GG-EXP1 35 SUBJECT-REL 9 "EDITOR" 70 
GG-EXP1 35 SUBJECT-REL 10 "HOPED" 57 
GG-EXP1 35 SUBJECT-REL 11 "FOR" 70 
GG-EXP1 35 SUBJECT-REL 12 "THE" 48 
GG-EXP1 35 SUBJECT-REL 13 "STORY" 43 
GG-EXP1 35 OBJECT-REL 1 "THE" 70 
GG-EXP1 35 OBJECT-REL 2 "REPORTER" 70 
GG-EXP1 35 OBJECT-REL 3 "WHO" 10 
GG-EXP1 35 OBJECT-REL 4 "THE" 127 
GG-EXP1 35 OBJECT-REL 5 "PHOTOGRAPHER" 46 
GG-EXP1 35 OBJECT-REL 6 "SENT" 145 
GG-EXP1 35 OBJECT-REL 7 "TO" 33 
GG-EXP1 35 OBJECT-REL 8 "THE" 70 
GG-EXP1 35 OBJECT-REL 9 "EDITOR" 70 
GG-EXP1 35 OBJECT-REL 10 "HOPED" 97 
GG-EXP1 35 OBJECT-REL 11 "FOR" 46 
GG-EXP1 35 OBJECT-REL 12 "THE" 70 
GG-EXP1 35 OBJECT-REL 13 "STORY" 47 
GG-EXP1 36 SUBJECT-REL 1 "THE" 30 
GG-EXP1 36 SUBJECT-REL 2 "REPORTER" 49 
GG-EXP1 36 SUBJECT-REL 3 "WHO" 10 
GG-EXP1 36 SUBJECT-REL 4 "SENT" 37 
GG-EXP1 36 SUBJECT-REL 5 "THE" 41 
GG-EXP1 36 SUBJECT-REL 6 "PHOTOGRAPHER" 49 
GG-EXP1 36 SUBJECT-REL 7 "TO" 45 
GG-EXP1 36 SUBJECT-REL 8 "THE" 40 
GG-EXP1 36 SUBJECT-REL 9 "EDITOR" 49 
GG-EXP1 36 SUBJECT-REL 10 "HOPED" 78 
GG-EXP1 36 SUBJECT-REL 11 "FOR" 44 
GG-EXP1 36 SUBJECT-REL 12 "THE" 70 
GG-EXP1 36 SUBJECT-REL 13 "STORY" 41 
GG-EXP1 36 OBJECT-REL 1 "THE" 35 
GG-EXP1 37 SUBJECT-REL 1 "THE" 32 
GG-EXP1 37 SUBJECT-REL 2 "REPORTER" 70 
GG-EXP1 37 SUBJECT-REL 3 "WHO" 10 
GG-EXP1 37 SUBJECT-REL 4 "SENT" 42 
GG-EXP1 37 SUBJECT-REL 5 "THE" 70 
GG-EXP1 37 SUBJECT-REL 6 "PHOTOGRAPHER" 48 
GG-EXP1 37 SUBJECT-REL 7 "TO" 70 
GG-EXP1 37 SUBJECT-REL 8 "THE" 49 
GG-EXP1 37 SUBJECT-REL 9 "EDITOR" 41 
GG-EXP1 37 SUBJECT-REL 10 "HOPED" 73 
GG-EXP1 37 SUBJECT-REL 11 "FOR" 37 
GG-EXP1 37 SUBJECT-REL 12 "THE" 44 
