experiment simulation item wn word fixdur
GG-EXP1 29 OBJECT-REL 6 "sent" 129 
GG-EXP1 29 OBJECT-REL 6 "sent" 379 
GG-EXP1 29 OBJECT-REL 9 "editor" 496 
GG-EXP1 29 OBJECT-REL 12 "the" 285 
GG-EXP1 30 SUBJECT-REL 1 "the" 495 
GG-EXP1 30 SUBJECT-REL 2 "reporter" 187 
GG-EXP1 30 SUBJECT-REL 3 "who" 475 
GG-EXP1 30 SUBJECT-REL 6 "photographer" 217 
GG-EXP1 30 SUBJECT-REL 7 "to" 154 
GG-EXP1 30 SUBJECT-REL 8 "the" 425 
GG-EXP1 30 SUBJECT-REL 11 "for" 375 
GG-EXP1 30 SUBJECT-REL 13 "story" 136 
GG-EXP1 30 OBJECT-REL 1 "the" 524 
GG-EXP1 30 OBJECT-REL 2 "reporter" 238 
GG-EXP1 30 OBJECT-REL 3 "who" 212 
GG-EXP1 30 OBJECT-REL 4 "the" 282 
GG-EXP1 30 OBJECT-REL 6 "sent" 490 
GG-EXP1 30 OBJECT-REL 9 "editor" 483 
GG-EXP1 30 OBJECT-REL 11 "for" 282 
GG-EXP1 30 OBJECT-REL 13 "story" 229 
GG-EXP1 31 SUBJECT-REL 1 "the" 541 
GG-EXP1 31 SUBJECT-REL 2 "reporter" 177 
GG-EXP1 31 SUBJECT-REL 3 "who" 493 
GG-EXP1 31 SUBJECT-REL 6 "photographer" 236 
GG-EXP1 31 SUBJECT-REL 7 "to" 160 
GG-EXP1 31 SUBJECT-REL 8 "the" 193 
GG-EXP1 31 SUBJECT-REL 9 "editor" 260 
GG-EXP1 31 SUBJECT-REL 11 "for" 464 
GG-EXP1 31 OBJECT-REL 1 "the" 657 
GG-EXP1 31 OBJECT-REL 3 "who" 349 
GG-EXP1 31 OBJECT-REL 3 "who" 215 
GG-EXP1 31 OBJECT-REL 4 "the" 216 
GG-EXP1 31 OBJECT-REL 5 "photographer" 166 
GG-EXP1 31 OBJECT-REL 6 "sent" 361 
GG-EXP1 31 OBJECT-REL 9 "editor" 339 
GG-EXP1 31 OBJECT-REL 11 "for" 299 
GG-EXP1 32 SUBJECT-REL 1 "the" 405 
GG-EXP1 32 SUBJECT-REL 1 "the" 402 
GG-EXP1 32 SUBJECT-REL 4 "sent" 206 
GG-EXP1 32 SUBJECT-REL 5 "the" 140 
GG-EXP1 32 SUBJECT-REL 6 "photographer" 388 
GG-EXP1 32 SUBJECT-REL 9 "editor" 208 
GG-EXP1 32 SUBJECT-REL 10 "hoped" 314 
GG-EXP1 32 SUBJECT-REL 12 "the" 258 
GG-EXP1 32 OBJECT-REL 1 "the" 522 
GG-EXP1 32 OBJECT-REL 2 "reporter" 223 
GG-EXP1 32 OBJECT-REL 3 "who" 366 
GG-EXP1 32 OBJECT-REL 3 "who" 378 
GG-EXP1 32 OBJECT-REL 5 "photographer" 462 
GG-EXP1 32 OBJECT-REL 7 "to" 262 
GG-EXP1 32 OBJECT-REL 9 "editor" 283 
GG-EXP1 32 OBJECT-REL 10 "hoped" 247 
GG-EXP1 32 OBJECT-REL 13 "story" 163 
GG-EXP1 33 SUBJECT-REL 1 "the" 616 
GG-EXP1 33 SUBJECT-REL 3 "who" 213 
GG-EXP1 33 SUBJECT-REL 3 "who" 145 
GG-EXP1 33 SUBJECT-REL 4 "sent" 303 
GG-EXP1 33 SUBJECT-REL 6 "photographer" 331 
GG-EXP1 33 SUBJECT-REL 8 "the" 148 
GG-EXP1 33 SUBJECT-REL 9 "editor" 288 
GG-EXP1 33 SUBJECT-REL 11 "for" 411 
GG-EXP1 33 OBJECT-REL 1 "the" 530 
GG-EXP1 33 OBJECT-REL 2 "reporter" 552 
GG-EXP1 33 OBJECT-REL 2 "reporter" 194 
GG-EXP1 33 OBJECT-REL 3 "who" 345 
GG-EXP1 33 OBJECT-REL 5 "photographer" 301 
GG-EXP1 33 OBJECT-REL 7 "to" 274 
GG-EXP1 33 OBJECT-REL 9 "editor" 145 
GG-EXP1 33 OBJECT-REL 10 "hoped" 426 
GG-EXP1 33 OBJECT-REL 13 "story" 212 
GG-EXP1 34 SUBJECT-REL 1 "the" 409 
GG-EXP1 34 SUBJECT-REL 1 "the" 180 
GG-EXP1 34 SUBJECT-REL 2 "reporter" 160 
GG-EXP1 34 SUBJECT-REL 3 "who" 360 
GG-EXP1 34 SUBJECT-REL 5 "the" 333 
GG-EXP1 34 SUBJECT-REL 7 "to" 342 
GG-EXP1 34 SUBJECT-REL 9 "editor" 147 
GG-EXP1 34 SUBJECT-REL 10 "hoped" 411 
GG-EXP1 34 SUBJECT-REL 13 "story" 188 
GG-EXP1 34 OBJECT-REL 1 "the" 500 
GG-EXP1 34 OBJECT-REL 2 "reporter" 388 
GG-EXP1 34 OBJECT-REL 4 "the" 189 
GG-EXP1 34 OBJECT-REL 3 "who" 147 
GG-EXP1 34 OBJECT-REL 4 "the" 362 
GG-EXP1 34 OBJECT-REL 7 "to" 473 
GG-EXP1 34 OBJECT-REL 9 "editor" 253 
GG-EXP1 34 OBJECT-REL 11 "for" 311 
GG-EXP1 35 SUBJECT-REL 1 "the" 504 
GG-EXP1 35 SUBJECT-REL 2 "reporter" 154 
GG-EXP1 35 SUBJECT-REL 3 "who" 255 
GG-EXP1 35 SUBJECT-REL 4 "sent" 158 
GG-EXP1 35 SUBJECT-REL 5 "the" 198 
GG-EXP1 35 SUBJECT-REL 6 "photographer" 175 
GG-EXP1 35 SUBJECT-REL 7 "to" 223 
GG-EXP1 35 SUBJECT-REL 9 "editor" 267 
GG-EXP1 35 SUBJECT-REL 11 "for" 306 
GG-EXP1 35 SUBJECT-REL 13 "story" 156 
GG-EXP1 35 OBJECT-REL 1 "the" 644 
GG-EXP1 35 OBJECT-REL 2 "reporter" 407 
GG-EXP1 35 OBJECT-REL 2 "reporter" 395 
GG-EXP1 35 OBJECT-REL 4 "the" 147 
GG-EXP1 35 OBJECT-REL 5 "photographer" 444 
GG-EXP1 35 OBJECT-REL 7 "to" 275 
GG-EXP1 35 OBJECT-REL 9 "editor" 287 
GG-EXP1 35 OBJECT-REL 11 "for" 183 
GG-EXP1 35 OBJECT-REL 12 "the" 344 
GG-EXP1 36 SUBJECT-REL 1 "the" 503 
GG-EXP1 36 SUBJECT-REL 2 "reporter" 192 
GG-EXP1 36 SUBJECT-REL 3 "who" 448 
GG-EXP1 36 SUBJECT-REL 6 "photographer" 344 
GG-EXP1 36 SUBJECT-REL 9 "editor" 440 
GG-EXP1 36 SUBJECT-REL 11 "for" 226 
GG-EXP1 36 SUBJECT-REL 12 "the" 268 
GG-EXP1 36 OBJECT-REL 1 "the" 511 
GG-EXP1 36 OBJECT-REL 2 "reporter" 203 
GG-EXP1 37 SUBJECT-REL 1 "the" 603 
GG-EXP1 37 SUBJECT-REL 3 "who" 441 
GG-EXP1 37 SUBJECT-REL 5 "the" 132 
GG-EXP1 37 SUBJECT-REL 6 "photographer" 157 
GG-EXP1 37 SUBJECT-REL 7 "to" 386 
GG-EXP1 37 SUBJECT-REL 10 "hoped" 204 
GG-EXP1 37 SUBJECT-REL 11 "for" 259 
GG-EXP1 37 SUBJECT-REL 13 "story" 172 
GG-EXP1 37 OBJECT-REL 1 "the" 496 
GG-EXP1 37 OBJECT-REL 2 "reporter" 174 
GG-EXP1 37 OBJECT-REL 3 "who" 336 
GG-EXP1 37 OBJECT-REL 3 "who" 254 
GG-EXP1 37 OBJECT-REL 4 "the" 316 
GG-EXP1 37 OBJECT-REL 6 "sent" 467 
GG-EXP1 37 OBJECT-REL 9 "editor" 166 
GG-EXP1 37 OBJECT-REL 10 "hoped" 252 
GG-EXP1 37 OBJECT-REL 12 "the" 231 
GG-EXP1 38 SUBJECT-REL 1 "the" 528 
GG-EXP1 38 SUBJECT-REL 2 "reporter" 195 
GG-EXP1 38 SUBJECT-REL 3 "who" 350 
GG-EXP1 38 SUBJECT-REL 5 "the" 338 
GG-EXP1 38 SUBJECT-REL 8 "the" 304 
GG-EXP1 38 SUBJECT-REL 9 "editor" 268 
GG-EXP1 38 SUBJECT-REL 11 "for" 232 
GG-EXP1 38 SUBJECT-REL 13 "story" 165 
GG-EXP1 38 OBJECT-REL 1 "the" 437 
GG-EXP1 38 OBJECT-REL 1 "the" 257 
GG-EXP1 38 OBJECT-REL 3 "who" 463 
GG-EXP1 38 OBJECT-REL 3 "who" 188 
GG-EXP1 38 OBJECT-REL 4 "the" 179 
GG-EXP1 38 OBJECT-REL 5 "photographer" 163 
GG-EXP1 38 OBJECT-REL 6 "sent" 141 
GG-EXP1 38 OBJECT-REL 7 "to" 240 
GG-EXP1 38 OBJECT-REL 9 "editor" 145 
GG-EXP1 38 OBJECT-REL 10 "hoped" 377 
GG-EXP1 38 OBJECT-REL 13 "story" 152 
GG-EXP1 39 SUBJECT-REL 1 "the" 418 
GG-EXP1 39 SUBJECT-REL 1 "the" 313 
GG-EXP1 39 SUBJECT-REL 3 "who" 332 
GG-EXP1 39 SUBJECT-REL 5 "the" 175 
GG-EXP1 39 SUBJECT-REL 6 "photographer" 293 
GG-EXP1 39 SUBJECT-REL 8 "the" 320 
GG-EXP1 39 SUBJECT-REL 10 "hoped" 143 
GG-EXP1 39 SUBJECT-REL 11 "for" 370 
GG-EXP1 39 OBJECT-REL 1 "the" 523 
GG-EXP1 39 OBJECT-REL 2 "reporter" 194 
GG-EXP1 39 OBJECT-REL 3 "who" 321 
GG-EXP1 39 OBJECT-REL 2 "reporter" 247 
GG-EXP1 39 OBJECT-REL 3 "who" 147 
GG-EXP1 39 OBJECT-REL 4 "the" 297 
GG-EXP1 39 OBJECT-REL 6 "sent" 275 
GG-EXP1 39 OBJECT-REL 6 "sent" 412 
GG-EXP1 39 OBJECT-REL 9 "editor" 164 
GG-EXP1 39 OBJECT-REL 10 "hoped" 276 
GG-EXP1 39 OBJECT-REL 12 "the" 303 
GG-EXP1 40 SUBJECT-REL 1 "the" 523 
GG-EXP1 40 SUBJECT-REL 2 "reporter" 133 
GG-EXP1 40 SUBJECT-REL 3 "who" 218 
GG-EXP1 40 SUBJECT-REL 4 "sent" 316 
GG-EXP1 40 SUBJECT-REL 6 "photographer" 204 
GG-EXP1 40 SUBJECT-REL 7 "to" 250 
GG-EXP1 40 SUBJECT-REL 9 "editor" 315 
GG-EXP1 40 SUBJECT-REL 11 "for" 184 
GG-EXP1 40 SUBJECT-REL 12 "the" 278 
GG-EXP1 40 OBJECT-REL 1 "the" 482 
GG-EXP1 40 OBJECT-REL 2 "reporter" 192 
GG-EXP1 40 OBJECT-REL 3 "who" 364 
GG-EXP1 40 OBJECT-REL 3 "who" 238 
GG-EXP1 40 OBJECT-REL 4 "the" 159 
GG-EXP1 40 OBJECT-REL 5 "photographer" 286 
GG-EXP1 40 OBJECT-REL 7 "to" 316 
GG-EXP1 40 OBJECT-REL 9 "editor" 150 
GG-EXP1 40 OBJECT-REL 10 "hoped" 269 
GG-EXP1 40 OBJECT-REL 12 "the" 226 
GG-EXP1 41 SUBJECT-REL 1 "the" 384 
GG-EXP1 41 SUBJECT-REL 1 "the" 270 
GG-EXP1 41 SUBJECT-REL 3 "who" 326 
GG-EXP1 41 SUBJECT-REL 5 "the" 180 
GG-EXP1 41 SUBJECT-REL 6 "photographer" 164 
GG-EXP1 41 SUBJECT-REL 7 "to" 265 
GG-EXP1 41 SUBJECT-REL 9 "editor" 171 
GG-EXP1 41 SUBJECT-REL 10 "hoped" 257 
GG-EXP1 41 SUBJECT-REL 12 "the" 265 
GG-EXP1 41 OBJECT-REL 1 "the" 419 
GG-EXP1 41 OBJECT-REL 1 "the" 333 
GG-EXP1 41 OBJECT-REL 3 "who" 394 
GG-EXP1 41 OBJECT-REL 2 "reporter" 188 
GG-EXP1 41 OBJECT-REL 3 "who" 267 
GG-EXP1 41 OBJECT-REL 5 "photographer" 172 
GG-EXP1 41 OBJECT-REL 6 "sent" 175 
GG-EXP1 41 OBJECT-REL 7 "to" 270 
GG-EXP1 41 OBJECT-REL 9 "editor" 307 
GG-EXP1 41 OBJECT-REL 11 "for" 176 
GG-EXP1 41 OBJECT-REL 12 "the" 265 
GG-EXP1 42 SUBJECT-REL 1 "the" 531 
GG-EXP1 42 SUBJECT-REL 2 "reporter" 217 
GG-EXP1 42 SUBJECT-REL 3 "who" 249 
GG-EXP1 42 SUBJECT-REL 5 "the" 174 
GG-EXP1 42 SUBJECT-REL 6 "photographer" 301 
GG-EXP1 42 SUBJECT-REL 8 "the" 269 
GG-EXP1 42 SUBJECT-REL 10 "hoped" 573 
GG-EXP1 42 OBJECT-REL 1 "the" 531 
GG-EXP1 42 OBJECT-REL 2 "reporter" 180 
GG-EXP1 42 OBJECT-REL 3 "who" 201 
GG-EXP1 42 OBJECT-REL 4 "the" 148 
GG-EXP1 42 OBJECT-REL 3 "who" 287 
GG-EXP1 42 OBJECT-REL 5 "photographer" 616 
GG-EXP1 42 OBJECT-REL 9 "editor" 239 
GG-EXP1 42 OBJECT-REL 10 "hoped" 185 
GG-EXP1 42 OBJECT-REL 11 "for" 399 
GG-EXP1 43 SUBJECT-REL 1 "the" 603 
GG-EXP1 43 SUBJECT-REL 3 "who" 270 
GG-EXP1 43 SUBJECT-REL 4 "sent" 263 
GG-EXP1 43 SUBJECT-REL 6 "photographer" 149 
GG-EXP1 43 SUBJECT-REL 7 "to" 389 
GG-EXP1 43 SUBJECT-REL 10 "hoped" 307 
GG-EXP1 43 SUBJECT-REL 12 "the" 298 
GG-EXP1 43 OBJECT-REL 1 "the" 528 
GG-EXP1 43 OBJECT-REL 2 "reporter" 146 
GG-EXP1 43 OBJECT-REL 3 "who" 320 
GG-EXP1 43 OBJECT-REL 3 "who" 362 
GG-EXP1 43 OBJECT-REL 5 "photographer" 159 
GG-EXP1 43 OBJECT-REL 6 "sent" 537 
GG-EXP1 43 OBJECT-REL 10 "hoped" 289 
GG-EXP1 43 OBJECT-REL 11 "for" 414 
GG-EXP1 44 SUBJECT-REL 1 "the" 479 
GG-EXP1 44 SUBJECT-REL 2 "reporter" 154 
GG-EXP1 44 SUBJECT-REL 3 "who" 192 
GG-EXP1 44 SUBJECT-REL 4 "sent" 269 
GG-EXP1 44 SUBJECT-REL 6 "photographer" 177 
GG-EXP1 44 SUBJECT-REL 7 "to" 388 
GG-EXP1 44 SUBJECT-REL 10 "hoped" 185 
GG-EXP1 44 SUBJECT-REL 11 "for" 184 
GG-EXP1 44 SUBJECT-REL 12 "the" 179 
GG-EXP1 44 SUBJECT-REL 13 "story" 195 
GG-EXP1 44 OBJECT-REL 1 "the" 505 
GG-EXP1 44 OBJECT-REL 2 "reporter" 173 
GG-EXP1 44 OBJECT-REL 3 "who" 319 
GG-EXP1 44 OBJECT-REL 2 "reporter" 333 
GG-EXP1 44 OBJECT-REL 4 "the" 182 
GG-EXP1 44 OBJECT-REL 5 "photographer" 421 
GG-EXP1 44 OBJECT-REL 7 "to" 317 
GG-EXP1 44 OBJECT-REL 9 "editor" 297 
GG-EXP1 44 OBJECT-REL 11 "for" 462 
GG-EXP1 45 SUBJECT-REL 1 "the" 551 
GG-EXP1 45 SUBJECT-REL 2 "reporter" 159 
GG-EXP1 45 SUBJECT-REL 3 "who" 507 
GG-EXP1 45 SUBJECT-REL 6 "photographer" 211 
GG-EXP1 45 SUBJECT-REL 7 "to" 257 
GG-EXP1 45 SUBJECT-REL 9 "editor" 270 
GG-EXP1 45 SUBJECT-REL 11 "for" 178 
GG-EXP1 45 SUBJECT-REL 12 "the" 290 
GG-EXP1 45 OBJECT-REL 1 "the" 516 
GG-EXP1 45 OBJECT-REL 2 "reporter" 217 
GG-EXP1 45 OBJECT-REL 3 "who" 319 
GG-EXP1 45 OBJECT-REL 3 "who" 457 
GG-EXP1 45 OBJECT-REL 6 "sent" 279 
GG-EXP1 45 OBJECT-REL 7 "to" 340 
GG-EXP1 45 OBJECT-REL 10 "hoped" 217 
GG-EXP1 45 OBJECT-REL 11 "for" 165 
GG-EXP1 45 OBJECT-REL 12 "the" 288 
GG-EXP1 46 SUBJECT-REL 1 "the" 423 
GG-EXP1 46 SUBJECT-REL 1 "the" 285 
GG-EXP1 46 SUBJECT-REL 3 "who" 228 
GG-EXP1 46 SUBJECT-REL 4 "sent" 139 
GG-EXP1 46 SUBJECT-REL 5 "the" 176 
GG-EXP1 46 SUBJECT-REL 6 "photographer" 477 
GG-EXP1 46 OBJECT-REL 1 "the" 696 
GG-EXP1 46 OBJECT-REL 3 "who" 326 
GG-EXP1 46 OBJECT-REL 3 "who" 338 
GG-EXP1 46 OBJECT-REL 5 "photographer" 390 
GG-EXP1 46 OBJECT-REL 7 "to" 196 
GG-EXP1 46 OBJECT-REL 8 "the" 293 
GG-EXP1 46 OBJECT-REL 10 "hoped" 323 
GG-EXP1 46 OBJECT-REL 10 "hoped" 305 
GG-EXP1 46 OBJECT-REL 13 "story" 196 
GG-EXP1 47 SUBJECT-REL 1 "the" 673 
GG-EXP1 47 SUBJECT-REL 3 "who" 345 
GG-EXP1 47 SUBJECT-REL 5 "the" 197 
GG-EXP1 47 SUBJECT-REL 6 "photographer" 156 
GG-EXP1 47 SUBJECT-REL 7 "to" 281 
GG-EXP1 47 SUBJECT-REL 9 "editor" 145 
GG-EXP1 47 SUBJECT-REL 10 "hoped" 259 
GG-EXP1 47 SUBJECT-REL 12 "the" 267 
GG-EXP1 47 OBJECT-REL 1 "the" 535 
GG-EXP1 47 OBJECT-REL 2 "reporter" 171 
GG-EXP1 47 OBJECT-REL 3 "who" 329 
GG-EXP1 47 OBJECT-REL 3 "who" 201 
GG-EXP1 47 OBJECT-REL 4 "the" 140 
GG-EXP1 47 OBJECT-REL 5 "photographer" 171 
GG-EXP1 47 OBJECT-REL 6 "sent" 255 
GG-EXP1 47 OBJECT-REL 8 "the" 317 
GG-EXP1 47 OBJECT-REL 10 "hoped" 295 
GG-EXP1 47 OBJECT-REL 12 "the" 279 
GG-EXP1 48 SUBJECT-REL 1 "the" 606 
GG-EXP1 48 SUBJECT-REL 3 "who" 566 
GG-EXP1 48 SUBJECT-REL 6 "photographer" 381 
GG-EXP1 48 SUBJECT-REL 8 "the" 454 
GG-EXP1 48 SUBJECT-REL 11 "for" 148 
GG-EXP1 48 SUBJECT-REL 12 "the" 180 
GG-EXP1 48 SUBJECT-REL 13 "story" 211 
GG-EXP1 48 OBJECT-REL 1 "the" 425 
GG-EXP1 48 OBJECT-REL 1 "the" 155 
GG-EXP1 48 OBJECT-REL 2 "reporter" 198 
GG-EXP1 48 OBJECT-REL 3 "who" 200 
GG-EXP1 48 OBJECT-REL 4 "the" 167 
GG-EXP1 48 OBJECT-REL 3 "who" 198 
GG-EXP1 48 OBJECT-REL 4 "the" 312 
GG-EXP1 48 OBJECT-REL 6 "sent" 461 
GG-EXP1 48 OBJECT-REL 9 "editor" 134 
GG-EXP1 48 OBJECT-REL 10 "hoped" 300 
GG-EXP1 48 OBJECT-REL 12 "the" 171 
GG-EXP1 48 OBJECT-REL 13 "story" 195 
GG-EXP1 49 SUBJECT-REL 1 "the" 478 
GG-EXP1 49 SUBJECT-REL 2 "reporter" 181 
GG-EXP1 49 SUBJECT-REL 3 "who" 308 
GG-EXP1 49 SUBJECT-REL 5 "the" 212 
GG-EXP1 49 SUBJECT-REL 6 "photographer" 308 
GG-EXP1 49 SUBJECT-REL 8 "the" 282 
GG-EXP1 49 SUBJECT-REL 10 "hoped" 316 
GG-EXP1 49 SUBJECT-REL 12 "the" 275 
GG-EXP1 49 OBJECT-REL 1 "the" 524 
GG-EXP1 49 OBJECT-REL 2 "reporter" 137 
GG-EXP1 49 OBJECT-REL 3 "who" 357 
GG-EXP1 49 OBJECT-REL 3 "who" 156 
GG-EXP1 49 OBJECT-REL 4 "the" 282 
GG-EXP1 49 OBJECT-REL 6 "sent" 503 
GG-EXP1 49 OBJECT-REL 9 "editor" 366 
GG-EXP1 49 OBJECT-REL 11 "for" 375 
GG-EXP1 50 SUBJECT-REL 1 "the" 563 
GG-EXP1 50 SUBJECT-REL 2 "reporter" 198 
GG-EXP1 50 SUBJECT-REL 3 "who" 461 
GG-EXP1 50 SUBJECT-REL 6 "photographer" 479 
GG-EXP1 50 SUBJECT-REL 9 "editor" 234 
GG-EXP1 50 SUBJECT-REL 10 "hoped" 160 
GG-EXP1 50 SUBJECT-REL 11 "for" 238 
GG-EXP1 50 SUBJECT-REL 13 "story" 218 
GG-EXP1 50 OBJECT-REL 1 "the" 531 
GG-EXP1 50 OBJECT-REL 2 "reporter" 160 
GG-EXP1 50 OBJECT-REL 3 "who" 351 
GG-EXP1 50 OBJECT-REL 2 "reporter" 370 
GG-EXP1 50 OBJECT-REL 3 "who" 183 
GG-EXP1 50 OBJECT-REL 5 "photographer" 224 
GG-EXP1 50 OBJECT-REL 6 "sent" 315 
GG-EXP1 50 OBJECT-REL 8 "the" 240 
GG-EXP1 50 OBJECT-REL 10 "hoped" 387 
GG-EXP1 50 OBJECT-REL 13 "story" 197 
