experiment simulation item wn word enctime ecc freq1
GG-EXP1 9 OBJECT-REL 11 "for" 94 5.040202530132682D0 0.0037 
GG-EXP1 9 OBJECT-REL 12 "the" 34 2.043778238086639D0 0.0037 
GG-EXP1 9 OBJECT-REL 13 "story" 34 3.357348659311748D0 0.0037 
GG-EXP1 9 OBJECT-REL 11 "for" 20 1.15384699041169D0 0.0037 
GG-EXP1 9 OBJECT-REL 13 "story" 51 3.8791412942155743D0 0.0037 
GG-EXP1 9 OBJECT-REL 14 "*" 61 4.810518497634086D0 0.0037 
GG-EXP1 10 SUBJECT-REL 1 "the" 21 1.2484718747027306D0 0.0037 
GG-EXP1 10 SUBJECT-REL 2 "reporter" 29 3.0013432515202925D0 0.0037 
GG-EXP1 10 SUBJECT-REL 3 "who" 16 1.8440781396919852D0 0.0037 
GG-EXP1 10 SUBJECT-REL 4 "sent" 27 1.7815566871179702D0 0.0037 
GG-EXP1 10 SUBJECT-REL 5 "the" 18 1.3771034269005291D0 0.0037 
GG-EXP1 10 SUBJECT-REL 6 "photographer" 76 4.979969505995029D0 0.0037 
GG-EXP1 10 SUBJECT-REL 7 "to" 37 2.8425693859090533D0 0.0037 
GG-EXP1 10 SUBJECT-REL 8 "the" 43 3.874363461407802D0 0.0037 
GG-EXP1 10 SUBJECT-REL 9 "editor" 36 2.423769318909939D0 0.0037 
GG-EXP1 10 SUBJECT-REL 10 "hoped" 20 1.963387637214041D0 0.0037 
GG-EXP1 10 SUBJECT-REL 11 "for" 41 4.177939248391907D0 0.0037 
GG-EXP1 10 SUBJECT-REL 9 "editor" 15 0.3034557182969877D0 0.0037 
GG-EXP1 10 SUBJECT-REL 11 "for" 69 4.084352777017206D0 0.0037 
GG-EXP1 10 SUBJECT-REL 12 "the" 20 1.3305745252666352D0 0.0037 
GG-EXP1 10 SUBJECT-REL 13 "story" 54 3.2120190993931073D0 0.0037 
GG-EXP1 10 SUBJECT-REL 14 "*" 19 1.7198155399653476D0 0.0037 
GG-EXP1 10 OBJECT-REL 1 "the" 17 1.3132430785529972D0 0.0037 
GG-EXP1 10 OBJECT-REL 2 "reporter" 26 2.5356270309560083D0 0.0037 
GG-EXP1 10 OBJECT-REL 3 "who" 20 2.335421985928662D0 0.0037 
GG-EXP1 10 OBJECT-REL 4 "the" 24 1.9246000344274068D0 0.0037 
GG-EXP1 10 OBJECT-REL 2 "reporter" 32 2.132866143306885D0 0.0037 
GG-EXP1 10 OBJECT-REL 4 "the" 22 1.7406153540819063D0 0.0037 
GG-EXP1 10 OBJECT-REL 5 "photographer" 49 4.44915469945874D0 0.0037 
GG-EXP1 10 OBJECT-REL 2 "reporter" 34 2.5196745061978647D0 0.0037 
GG-EXP1 10 OBJECT-REL 3 "who" 38 2.6475816872831843D0 0.0037 
GG-EXP1 10 OBJECT-REL 4 "the" 18 1.5312205832765953D0 0.0037 
GG-EXP1 10 OBJECT-REL 5 "photographer" 26 3.0252719328558673D0 0.0037 
GG-EXP1 10 OBJECT-REL 6 "sent" 37 3.532791805665292D0 0.0037 
GG-EXP1 10 OBJECT-REL 7 "to" 108 5.736921433473079D0 0.0037 
GG-EXP1 10 OBJECT-REL 8 "the" 15 0.38374900763390873D0 0.0037 
GG-EXP1 10 OBJECT-REL 9 "editor" 33 2.7870554535726595D0 0.0037 
GG-EXP1 10 OBJECT-REL 10 "hoped" 116 6.081056948647419D0 0.0037 
GG-EXP1 10 OBJECT-REL 11 "for" 16 0.952401047610605D0 0.0037 
GG-EXP1 10 OBJECT-REL 12 "the" 20 1.8658861389112122D0 0.0037 
GG-EXP1 10 OBJECT-REL 10 "hoped" 13 1.1912067740076453D0 0.0037 
GG-EXP1 10 OBJECT-REL 12 "the" 21 2.257485839555416D0 0.0037 
GG-EXP1 10 OBJECT-REL 13 "story" 83 4.493542514327245D0 0.0037 
GG-EXP1 10 OBJECT-REL 14 "*" 15 1.4466917411927058D0 0.0037 
GG-EXP1 11 SUBJECT-REL 1 "the" 24 1.2701364794353864D0 0.0037 
GG-EXP1 11 SUBJECT-REL 2 "reporter" 38 3.1761519276273242D0 0.0037 
GG-EXP1 11 SUBJECT-REL 3 "who" 123 6.581840310154112D0 0.0037 
GG-EXP1 11 SUBJECT-REL 4 "sent" 19 1.185279974572481D0 0.0037 
GG-EXP1 11 SUBJECT-REL 3 "who" 11 0.4815680039699685D0 0.0037 
GG-EXP1 11 SUBJECT-REL 4 "sent" 21 1.1629321844957596D0 0.0037 
GG-EXP1 11 SUBJECT-REL 5 "the" 16 1.6076768181458294D0 0.0037 
GG-EXP1 11 SUBJECT-REL 6 "photographer" 79 5.0085070536329415D0 0.0037 
GG-EXP1 11 SUBJECT-REL 7 "to" 37 2.98969285551846D0 0.0037 
GG-EXP1 11 SUBJECT-REL 8 "the" 55 3.8370546010537265D0 0.0037 
GG-EXP1 11 SUBJECT-REL 9 "editor" 43 2.8667991343000305D0 0.0037 
GG-EXP1 11 SUBJECT-REL 10 "hoped" 58 4.582581701901526D0 0.0037 
GG-EXP1 11 SUBJECT-REL 11 "for" 30 2.4638252621053622D0 0.0037 
GG-EXP1 11 SUBJECT-REL 12 "the" 51 3.490728325672484D0 0.0037 
GG-EXP1 11 SUBJECT-REL 13 "story" 111 5.868806735340643D0 0.0037 
GG-EXP1 11 SUBJECT-REL 14 "*" 20 1.0688810251964478D0 0.0037 
GG-EXP1 11 OBJECT-REL 1 "the" 19 1.3900908149731979D0 0.0037 
GG-EXP1 11 OBJECT-REL 2 "reporter" 67 4.085355570788508D0 0.0037 
GG-EXP1 11 OBJECT-REL 3 "who" 33 2.3525246792696572D0 0.0037 
GG-EXP1 11 OBJECT-REL 4 "the" 18 1.537518628499523D0 0.0037 
GG-EXP1 11 OBJECT-REL 5 "photographer" 68 4.35228941244526D0 0.0037 
GG-EXP1 11 OBJECT-REL 3 "who" 12 0.41669424564046204D0 0.0037 
GG-EXP1 11 OBJECT-REL 4 "the" 17 1.5225878538459086D0 0.0037 
GG-EXP1 11 OBJECT-REL 5 "photographer" 35 2.727825108527661D0 0.0037 
GG-EXP1 11 OBJECT-REL 6 "sent" 101 6.244200208300976D0 0.0037 
GG-EXP1 11 OBJECT-REL 7 "to" 18 1.7380253098858098D0 0.0037 
GG-EXP1 11 OBJECT-REL 8 "the" 39 2.544951578271705D0 0.0037 
GG-EXP1 11 OBJECT-REL 9 "editor" 25 2.5694046694491064D0 0.0037 
GG-EXP1 11 OBJECT-REL 10 "hoped" 50 4.477633110853676D0 0.0037 
GG-EXP1 11 OBJECT-REL 11 "for" 31 2.372097086452586D0 0.0037 
GG-EXP1 11 OBJECT-REL 12 "the" 16 1.2108588640717612D0 0.0037 
GG-EXP1 11 OBJECT-REL 13 "story" 31 2.307070567366735D0 0.0037 
GG-EXP1 11 OBJECT-REL 14 "*" 34 3.507249672503297D0 0.0037 
GG-EXP1 12 SUBJECT-REL 1 "the" 17 1.1540115471010426D0 0.0037 
GG-EXP1 12 SUBJECT-REL 2 "reporter" 53 3.5475090287483937D0 0.0037 
GG-EXP1 12 SUBJECT-REL 3 "who" 256 8.293514111665084D0 0.0037 
GG-EXP1 12 SUBJECT-REL 3 "who" 22 1.9268371169448464D0 0.0037 
GG-EXP1 12 SUBJECT-REL 4 "sent" 21 1.4338775776849173D0 0.0037 
GG-EXP1 12 SUBJECT-REL 5 "the" 36 2.813202209843697D0 0.0037 
GG-EXP1 12 SUBJECT-REL 6 "photographer" 150 6.561264456729571D0 0.0037 
GG-EXP1 12 SUBJECT-REL 7 "to" 35 3.3498828745500515D0 0.0037 
GG-EXP1 12 SUBJECT-REL 8 "the" 85 4.6552541624030725D0 0.0037 
GG-EXP1 12 SUBJECT-REL 9 "editor" 17 1.7294662070436162D0 0.0037 
GG-EXP1 12 SUBJECT-REL 10 "hoped" 54 3.9775517536441174D0 0.0037 
GG-EXP1 12 SUBJECT-REL 11 "for" 19 1.877488593205561D0 0.0037 
GG-EXP1 12 SUBJECT-REL 9 "editor" 34 2.7059788924530004D0 0.0037 
GG-EXP1 12 SUBJECT-REL 11 "for" 30 1.940462536329704D0 0.0037 
GG-EXP1 12 SUBJECT-REL 12 "the" 28 3.0801434382007593D0 0.0037 
GG-EXP1 12 SUBJECT-REL 13 "story" 31 2.0810714082266313D0 0.0037 
GG-EXP1 12 SUBJECT-REL 14 "*" 38 3.691159730633591D0 0.0037 
GG-EXP1 12 OBJECT-REL 1 "the" 14 1.3663472409314166D0 0.0037 
GG-EXP1 12 OBJECT-REL 2 "reporter" 53 3.813921541103662D0 0.0037 
GG-EXP1 12 OBJECT-REL 3 "who" 21 2.366736235805116D0 0.0037 
GG-EXP1 12 OBJECT-REL 4 "the" 39 3.628205918735286D0 0.0037 
GG-EXP1 12 OBJECT-REL 1 "the" 38 2.493009871741205D0 0.0037 
GG-EXP1 12 OBJECT-REL 4 "the" 52 4.114840655974819D0 0.0037 
GG-EXP1 12 OBJECT-REL 5 "photographer" 329 8.092020956192975D0 0.0037 
GG-EXP1 12 OBJECT-REL 1 "the" 23 1.9494884193647004D0 0.0037 
GG-EXP1 12 OBJECT-REL 2 "reporter" 19 2.035180762121409D0 0.0037 
GG-EXP1 12 OBJECT-REL 3 "who" 21 2.0505096854374423D0 0.0037 
GG-EXP1 12 OBJECT-REL 4 "the" 58 4.648281858879525D0 0.0037 
GG-EXP1 12 OBJECT-REL 5 "photographer" 23 2.243297013566508D0 0.0037 
GG-EXP1 12 OBJECT-REL 6 "sent" 142 6.228418236671005D0 0.0037 
GG-EXP1 12 OBJECT-REL 7 "to" 16 0.9836302391985878D0 0.0037 
GG-EXP1 12 OBJECT-REL 6 "sent" 10 0.6446107610853729D0 0.0037 
GG-EXP1 12 OBJECT-REL 7 "to" 15 0.9657680852854783D0 0.0037 
GG-EXP1 12 OBJECT-REL 8 "the" 28 2.3189443237262894D0 0.0037 
GG-EXP1 12 OBJECT-REL 9 "editor" 23 1.959301777436849D0 0.0037 
GG-EXP1 12 OBJECT-REL 10 "hoped" 71 4.347438308283845D0 0.0037 
GG-EXP1 12 OBJECT-REL 11 "for" 22 1.8519901142805755D0 0.0037 
GG-EXP1 12 OBJECT-REL 9 "editor" 30 2.579777693604535D0 0.0037 
GG-EXP1 12 OBJECT-REL 11 "for" 16 1.7258147430339998D0 0.0037 
GG-EXP1 12 OBJECT-REL 12 "the" 59 3.4838450885042747D0 0.0037 
GG-EXP1 12 OBJECT-REL 13 "story" 31 1.8408237559185745D0 0.0037 
GG-EXP1 12 OBJECT-REL 14 "*" 14 1.3701839361108548D0 0.0037 
GG-EXP1 13 SUBJECT-REL 1 "the" 14 1.5489172306960368D0 0.0037 
GG-EXP1 13 SUBJECT-REL 2 "reporter" 54 4.535301053835357D0 0.0037 
GG-EXP1 13 SUBJECT-REL 3 "who" 24 1.679140839562112D0 0.0037 
GG-EXP1 13 SUBJECT-REL 4 "sent" 32 3.281102920589753D0 0.0037 
GG-EXP1 13 SUBJECT-REL 5 "the" 23 1.9506264686893493D0 0.0037 
GG-EXP1 13 SUBJECT-REL 6 "photographer" 51 3.0689854770555667D0 0.0037 
GG-EXP1 13 SUBJECT-REL 7 "to" 35 2.821924155516319D0 0.0037 
GG-EXP1 13 SUBJECT-REL 8 "the" 56 4.11407003750736D0 0.0037 
GG-EXP1 13 SUBJECT-REL 9 "editor" 36 2.2908558854818764D0 0.0037 
GG-EXP1 13 SUBJECT-REL 10 "hoped" 34 2.3561277269118412D0 0.0037 
GG-EXP1 13 SUBJECT-REL 11 "for" 23 1.8446472437583075D0 0.0037 
GG-EXP1 13 SUBJECT-REL 12 "the" 36 3.043818397614722D0 0.0037 
GG-EXP1 13 SUBJECT-REL 13 "story" 86 4.937443474927579D0 0.0037 
GG-EXP1 13 SUBJECT-REL 14 "*" 18 1.4044324966185195D0 0.0037 
GG-EXP1 13 OBJECT-REL 1 "the" 23 1.7633910327914595D0 0.0037 
GG-EXP1 13 OBJECT-REL 2 "reporter" 45 3.4582053868130687D0 0.0037 
GG-EXP1 13 OBJECT-REL 3 "who" 101 5.205460215752695D0 0.0037 
GG-EXP1 13 OBJECT-REL 4 "the" 33 2.9384730878369028D0 0.0037 
GG-EXP1 13 OBJECT-REL 5 "photographer" 132 6.195807994531792D0 0.0037 
GG-EXP1 13 OBJECT-REL 2 "reporter" 24 1.768160211153868D0 0.0037 
GG-EXP1 13 OBJECT-REL 3 "who" 30 2.4334794289320762D0 0.0037 
GG-EXP1 13 OBJECT-REL 4 "the" 17 1.8153519037764616D0 0.0037 
GG-EXP1 13 OBJECT-REL 5 "photographer" 39 3.3429673604135277D0 0.0037 
GG-EXP1 13 OBJECT-REL 6 "sent" 139 6.272606838968562D0 0.0037 
GG-EXP1 13 OBJECT-REL 7 "to" 26 1.7152026003614826D0 0.0037 
GG-EXP1 13 OBJECT-REL 8 "the" 47 3.260727198677435D0 0.0037 
GG-EXP1 13 OBJECT-REL 9 "editor" 25 1.6712745264574107D0 0.0037 
GG-EXP1 13 OBJECT-REL 10 "hoped" 62 4.287754037122887D0 0.0037 
GG-EXP1 13 OBJECT-REL 11 "for" 15 1.6825464079593688D0 0.0037 
GG-EXP1 13 OBJECT-REL 12 "the" 19 1.3905720510742405D0 0.0037 
GG-EXP1 13 OBJECT-REL 13 "story" 44 3.400065401063428D0 0.0037 
GG-EXP1 13 OBJECT-REL 14 "*" 24 1.4094033478501302D0 0.0037 
GG-EXP1 14 SUBJECT-REL 1 "the" 26 1.6144282164876012D0 0.0037 
GG-EXP1 14 SUBJECT-REL 2 "reporter" 34 2.70183844507593D0 0.0037 
GG-EXP1 14 SUBJECT-REL 3 "who" 34 2.144176200401144D0 0.0037 
GG-EXP1 14 SUBJECT-REL 4 "sent" 22 1.7161106718328665D0 0.0037 
GG-EXP1 14 SUBJECT-REL 5 "the" 43 3.381929307502031D0 0.0037 
GG-EXP1 14 SUBJECT-REL 6 "photographer" 208 6.766061573119888D0 0.0037 
GG-EXP1 14 SUBJECT-REL 6 "photographer" 19 0.8134993578775874D0 0.0037 
GG-EXP1 14 SUBJECT-REL 7 "to" 33 2.0220886697414344D0 0.0037 
GG-EXP1 14 SUBJECT-REL 8 "the" 69 4.155200926539834D0 0.0037 
GG-EXP1 14 SUBJECT-REL 9 "editor" 26 1.8826951171476896D0 0.0037 
GG-EXP1 14 SUBJECT-REL 10 "hoped" 28 2.4900353790539507D0 0.0037 
GG-EXP1 14 SUBJECT-REL 11 "for" 52 4.404927535357686D0 0.0037 
GG-EXP1 14 SUBJECT-REL 12 "the" 21 1.5224455426832446D0 0.0037 
GG-EXP1 14 SUBJECT-REL 13 "story" 42 3.908990754413562D0 0.0037 
GG-EXP1 14 SUBJECT-REL 14 "*" 114 5.260702836058292D0 0.0037 
GG-EXP1 14 OBJECT-REL 1 "the" 22 1.5041152298597427D0 0.0037 
GG-EXP1 14 OBJECT-REL 2 "reporter" 37 3.717136194073113D0 0.0037 
GG-EXP1 14 OBJECT-REL 3 "who" 96 5.75091790016858D0 0.0037 
GG-EXP1 14 OBJECT-REL 4 "the" 17 1.9536638374841686D0 0.0037 
GG-EXP1 14 OBJECT-REL 2 "reporter" 17 1.8968954193003074D0 0.0037 
GG-EXP1 14 OBJECT-REL 3 "who" 39 2.6481437621115855D0 0.0037 
GG-EXP1 14 OBJECT-REL 4 "the" 23 1.1401346453844639D0 0.0037 
GG-EXP1 14 OBJECT-REL 5 "photographer" 57 4.663811339448033D0 0.0037 
GG-EXP1 14 OBJECT-REL 6 "sent" 43 2.9132551092004886D0 0.0037 
GG-EXP1 14 OBJECT-REL 7 "to" 26 1.927167168751322D0 0.0037 
GG-EXP1 14 OBJECT-REL 8 "the" 28 2.9012716688302445D0 0.0037 
GG-EXP1 14 OBJECT-REL 9 "editor" 82 5.9753038969780805D0 0.0037 
GG-EXP1 14 OBJECT-REL 10 "hoped" 18 1.661696769857046D0 0.0037 
GG-EXP1 14 OBJECT-REL 11 "for" 24 1.8551858360719562D0 0.0037 
GG-EXP1 14 OBJECT-REL 12 "the" 44 3.0594489870492945D0 0.0037 
GG-EXP1 14 OBJECT-REL 13 "story" 55 4.715031843555857D0 0.0037 
GG-EXP1 14 OBJECT-REL 14 "*" 191 6.7584389561185265D0 0.0037 
GG-EXP1 15 SUBJECT-REL 1 "the" 17 1.417575904247151D0 0.0037 
GG-EXP1 15 SUBJECT-REL 2 "reporter" 69 4.604858539000329D0 0.0037 
GG-EXP1 15 SUBJECT-REL 3 "who" 25 2.1653571769759945D0 0.0037 
GG-EXP1 15 SUBJECT-REL 4 "sent" 14 1.3471500418439244D0 0.0037 
GG-EXP1 15 SUBJECT-REL 5 "the" 31 2.824685931865127D0 0.0037 
GG-EXP1 15 SUBJECT-REL 6 "photographer" 116 6.2582891433497165D0 0.0037 
GG-EXP1 15 SUBJECT-REL 7 "to" 25 2.6785449267690145D0 0.0037 
GG-EXP1 15 SUBJECT-REL 8 "the" 18 1.3097610752500262D0 0.0037 
GG-EXP1 15 SUBJECT-REL 9 "editor" 44 2.8712020144138792D0 0.0037 
GG-EXP1 15 SUBJECT-REL 6 "photographer" 42 2.987870359711049D0 0.0037 
GG-EXP1 15 OBJECT-REL 1 "the" 18 1.5507032166536212D0 0.0037 
GG-EXP1 15 OBJECT-REL 2 "reporter" 86 4.427693525460898D0 0.0037 
GG-EXP1 15 OBJECT-REL 3 "who" 18 1.821426198951365D0 0.0037 
GG-EXP1 15 OBJECT-REL 4 "the" 14 1.4760290770831601D0 0.0037 
GG-EXP1 15 OBJECT-REL 3 "who" 15 0.23447614616495405D0 0.0037 
GG-EXP1 15 OBJECT-REL 4 "the" 26 1.3702118916106525D0 0.0037 
GG-EXP1 15 OBJECT-REL 5 "photographer" 88 4.712948798242399D0 0.0037 
GG-EXP1 15 OBJECT-REL 3 "who" 11 0.19119672252374992D0 0.0037 
GG-EXP1 15 OBJECT-REL 4 "the" 24 1.668775012602834D0 0.0037 
GG-EXP1 15 OBJECT-REL 5 "photographer" 45 2.903928784704477D0 0.0037 
GG-EXP1 15 OBJECT-REL 6 "sent" 51 3.258218087091093D0 0.0037 
GG-EXP1 15 OBJECT-REL 7 "to" 82 4.618374587515921D0 0.0037 
GG-EXP1 15 OBJECT-REL 4 "the" 42 2.774053556780094D0 0.0037 
GG-EXP1 15 OBJECT-REL 7 "to" 100 4.770870229136191D0 0.0037 
GG-EXP1 15 OBJECT-REL 8 "the" 74 5.653913266272646D0 0.0037 
GG-EXP1 15 OBJECT-REL 4 "the" 42 3.538674842632508D0 0.0037 
GG-EXP1 15 OBJECT-REL 8 "the" 148 6.5385793384119735D0 0.0037 
GG-EXP1 16 SUBJECT-REL 1 "the" 26 1.478308023653133D0 0.0037 
GG-EXP1 16 SUBJECT-REL 2 "reporter" 51 4.085467941369205D0 0.0037 
GG-EXP1 16 SUBJECT-REL 3 "who" 175 6.231437200884928D0 0.0037 
GG-EXP1 16 SUBJECT-REL 3 "who" 16 0.3996688812013676D0 0.0037 
GG-EXP1 16 SUBJECT-REL 4 "sent" 28 1.7694117802369909D0 0.0037 
GG-EXP1 16 SUBJECT-REL 5 "the" 41 3.497967221391094D0 0.0037 
GG-EXP1 16 SUBJECT-REL 6 "photographer" 128 5.779846868203704D0 0.0037 
GG-EXP1 16 SUBJECT-REL 7 "to" 43 4.069341562789585D0 0.0037 
GG-EXP1 16 SUBJECT-REL 8 "the" 15 0.9892835740109857D0 0.0037 
GG-EXP1 16 SUBJECT-REL 9 "editor" 48 3.169020600300315D0 0.0037 
GG-EXP1 16 SUBJECT-REL 10 "hoped" 68 5.508280731551214D0 0.0037 
GG-EXP1 16 SUBJECT-REL 11 "for" 17 1.7517638857891191D0 0.0037 
GG-EXP1 16 SUBJECT-REL 12 "the" 23 1.5891111628108303D0 0.0037 
GG-EXP1 16 SUBJECT-REL 13 "story" 38 3.857006082724108D0 0.0037 
GG-EXP1 16 SUBJECT-REL 14 "*" 17 1.248300690164844D0 0.0037 
GG-EXP1 16 OBJECT-REL 1 "the" 24 1.4274575409113301D0 0.0037 
GG-EXP1 16 OBJECT-REL 2 "reporter" 38 3.970251632256136D0 0.0037 
GG-EXP1 16 OBJECT-REL 3 "who" 172 6.455763261551315D0 0.0037 
GG-EXP1 16 OBJECT-REL 4 "the" 20 1.3642963314986305D0 0.0037 
GG-EXP1 16 OBJECT-REL 5 "photographer" 46 4.076150617668482D0 0.0037 
GG-EXP1 16 OBJECT-REL 3 "who" 13 0.3890733356627533D0 0.0037 
GG-EXP1 16 OBJECT-REL 4 "the" 22 1.5018687761681815D0 0.0037 
GG-EXP1 16 OBJECT-REL 5 "photographer" 35 3.6458109958900904D0 0.0037 
GG-EXP1 16 OBJECT-REL 6 "sent" 39 2.980815494097203D0 0.0037 
GG-EXP1 16 OBJECT-REL 7 "to" 58 4.400526681458405D0 0.0037 
GG-EXP1 16 OBJECT-REL 5 "photographer" 11 0.5011681665438191D0 0.0037 
GG-EXP1 16 OBJECT-REL 7 "to" 39 3.3579872094126064D0 0.0037 
GG-EXP1 16 OBJECT-REL 8 "the" 79 5.59866016462044D0 0.0037 
GG-EXP1 16 OBJECT-REL 9 "editor" 23 1.628885284510852D0 0.0037 
GG-EXP1 16 OBJECT-REL 10 "hoped" 31 3.3829444961955533D0 0.0037 
GG-EXP1 16 OBJECT-REL 11 "for" 102 4.804119976960527D0 0.0037 
GG-EXP1 16 OBJECT-REL 12 "the" 25 1.3222246094741927D0 0.0037 
GG-EXP1 16 OBJECT-REL 13 "story" 55 3.4664773142724266D0 0.0037 
GG-EXP1 16 OBJECT-REL 14 "*" 22 1.458322708067683D0 0.0037 
GG-EXP1 17 SUBJECT-REL 1 "the" 21 1.456542619142373D0 0.0037 
GG-EXP1 17 SUBJECT-REL 2 "reporter" 71 4.0803430212169545D0 0.0037 
GG-EXP1 17 SUBJECT-REL 3 "who" 18 2.1526476185011907D0 0.0037 
GG-EXP1 17 SUBJECT-REL 4 "sent" 47 4.130729414428719D0 0.0037 
GG-EXP1 17 SUBJECT-REL 5 "the" 24 1.3849353833955622D0 0.0037 
GG-EXP1 17 SUBJECT-REL 6 "photographer" 78 4.350462235767547D0 0.0037 
GG-EXP1 17 SUBJECT-REL 7 "to" 46 3.0120361564419236D0 0.0037 
GG-EXP1 17 SUBJECT-REL 8 "the" 24 1.4988415408873796D0 0.0037 
GG-EXP1 17 SUBJECT-REL 9 "editor" 38 3.485084048985059D0 0.0037 
GG-EXP1 17 SUBJECT-REL 10 "hoped" 33 2.287002073971987D0 0.0037 
GG-EXP1 17 SUBJECT-REL 11 "for" 84 4.606164033617798D0 0.0037 
GG-EXP1 17 SUBJECT-REL 12 "the" 16 1.4775111428252117D0 0.0037 
GG-EXP1 17 SUBJECT-REL 13 "story" 43 3.17393319717398D0 0.0037 
GG-EXP1 17 SUBJECT-REL 14 "*" 56 4.585683841130879D0 0.0037 
GG-EXP1 17 OBJECT-REL 1 "the" 27 1.6156079833467003D0 0.0037 
GG-EXP1 17 OBJECT-REL 2 "reporter" 58 3.9181856710241734D0 0.0037 
GG-EXP1 17 OBJECT-REL 3 "who" 36 2.392013776935801D0 0.0037 
GG-EXP1 17 OBJECT-REL 2 "reporter" 14 0.2120102988539686D0 0.0037 
GG-EXP1 18 SUBJECT-REL 1 "the" 16 1.4073061225355399D0 0.0037 
GG-EXP1 18 SUBJECT-REL 2 "reporter" 52 3.9281088840321923D0 0.0037 
GG-EXP1 18 SUBJECT-REL 3 "who" 102 5.702709067834256D0 0.0037 
GG-EXP1 18 SUBJECT-REL 4 "sent" 29 2.4972465521504383D0 0.0037 
GG-EXP1 18 SUBJECT-REL 2 "reporter" 28 1.8962203567209461D0 0.0037 
GG-EXP1 18 SUBJECT-REL 4 "sent" 29 1.954723652543603D0 0.0037 
GG-EXP1 18 SUBJECT-REL 5 "the" 55 4.443674576452921D0 0.0037 
GG-EXP1 18 SUBJECT-REL 6 "photographer" 203 6.623546357563849D0 0.0037 
GG-EXP1 18 SUBJECT-REL 6 "photographer" 12 0.7649321632379956D0 0.0037 
GG-EXP1 18 SUBJECT-REL 7 "to" 36 3.823438356879835D0 0.0037 
GG-EXP1 18 SUBJECT-REL 8 "the" 73 4.855571069293405D0 0.0037 
GG-EXP1 18 SUBJECT-REL 9 "editor" 214 6.798218316972524D0 0.0037 
GG-EXP1 18 SUBJECT-REL 9 "editor" 21 1.9419400955371178D0 0.0037 
GG-EXP1 18 SUBJECT-REL 10 "hoped" 44 2.9525761594433955D0 0.0037 
GG-EXP1 18 SUBJECT-REL 11 "for" 19 2.026075138402239D0 0.0037 
GG-EXP1 18 SUBJECT-REL 12 "the" 54 3.696228877895473D0 0.0037 
GG-EXP1 18 SUBJECT-REL 13 "story" 25 1.7398598902745428D0 0.0037 
GG-EXP1 18 SUBJECT-REL 14 "*" 39 3.08045706626791D0 0.0037 
GG-EXP1 18 OBJECT-REL 1 "the" 17 1.5247242229585503D0 0.0037 
GG-EXP1 18 OBJECT-REL 2 "reporter" 73 4.34243521370999D0 0.0037 
GG-EXP1 18 OBJECT-REL 3 "who" 19 1.683373674874384D0 0.0037 
GG-EXP1 18 OBJECT-REL 4 "the" 47 2.9610924706265562D0 0.0037 
GG-EXP1 18 OBJECT-REL 2 "reporter" 16 0.511318815683701D0 0.0037 
GG-EXP1 18 OBJECT-REL 4 "the" 35 3.471985634093827D0 0.0037 
GG-EXP1 18 OBJECT-REL 5 "photographer" 215 6.846897909375171D0 0.0037 
GG-EXP1 18 OBJECT-REL 2 "reporter" 12 0.7493032807312945D0 0.0037 
GG-EXP1 18 OBJECT-REL 3 "who" 37 2.4885197803258055D0 0.0037 
GG-EXP1 18 OBJECT-REL 4 "the" 30 1.8561940662235112D0 0.0037 
GG-EXP1 18 OBJECT-REL 5 "photographer" 33 2.7686106322718933D0 0.0037 
GG-EXP1 18 OBJECT-REL 6 "sent" 52 3.567343315805419D0 0.0037 
GG-EXP1 18 OBJECT-REL 7 "to" 25 1.3889530139253747D0 0.0037 
GG-EXP1 18 OBJECT-REL 8 "the" 16 1.454923418670357D0 0.0037 
GG-EXP1 18 OBJECT-REL 9 "editor" 40 3.4048889322433364D0 0.0037 
GG-EXP1 18 OBJECT-REL 10 "hoped" 27 2.3548195208178098D0 0.0037 
GG-EXP1 18 OBJECT-REL 11 "for" 36 3.732274956681562D0 0.0037 
GG-EXP1 18 OBJECT-REL 8 "the" 32 2.0082222595609287D0 0.0037 
GG-EXP1 18 OBJECT-REL 11 "for" 54 3.902906066745817D0 0.0037 
GG-EXP1 18 OBJECT-REL 12 "the" 143 5.714073047462104D0 0.0037 
GG-EXP1 18 OBJECT-REL 13 "story" 38 2.391929001792866D0 0.0037 
GG-EXP1 18 OBJECT-REL 14 "*" 39 3.890222459943012D0 0.0037 
GG-EXP1 19 SUBJECT-REL 1 "the" 14 1.4429049366107007D0 0.0037 
GG-EXP1 19 SUBJECT-REL 2 "reporter" 51 3.910865778792913D0 0.0037 
GG-EXP1 19 SUBJECT-REL 3 "who" 41 2.874572247742863D0 0.0037 
GG-EXP1 19 SUBJECT-REL 4 "sent" 82 4.44880224729596D0 0.0037 
GG-EXP1 19 SUBJECT-REL 2 "reporter" 14 0.7919094421039012D0 0.0037 
GG-EXP1 19 SUBJECT-REL 4 "sent" 68 4.258576217872422D0 0.0037 
GG-EXP1 19 SUBJECT-REL 5 "the" 29 1.8225629342813365D0 0.0037 
GG-EXP1 19 SUBJECT-REL 6 "photographer" 75 4.504608653897411D0 0.0037 
GG-EXP1 19 SUBJECT-REL 7 "to" 47 2.9373639943526095D0 0.0037 
GG-EXP1 19 SUBJECT-REL 8 "the" 54 4.134286884412356D0 0.0037 
GG-EXP1 19 SUBJECT-REL 9 "editor" 99 5.825881444217783D0 0.0037 
